"OrderID","Subtotal"
"10248","440.0000"
"10249","1863.4000"
"10250","1552.6000"
"10251","654.0600"
"10252","3597.9000"
"10253","1444.8000"
"10254","556.6200"
"10255","2490.5000"
"10256","517.8000"
"10257","1119.9000"
"10258","1614.8800"
"10259","100.8000"
"10260","1504.6500"
"10261","448.0000"
"10262","584.0000"
"10263","1873.8000"
"10264","695.6250"
"10265","1176.0000"
"10266","346.5600"
"10267","3536.6000"
"10268","1101.2000"
"10269","642.2000"
"10270","1376.0000"
"10271","48.0000"
"10272","1456.0000"
"10273","2037.2800"
"10274","538.6000"
"10275","291.8400"
"10276","420.0000"
"10277","1200.8000"
"10278","1488.8000"
"10279","351.0000"
"10280","613.2000"
"10281","86.5000"
"10282","155.4000"
"10283","1414.8000"
"10284","1170.3750"
"10285","1743.3600"
"10286","3016.0000"
"10287","819.0000"
"10288","80.1000"
"10289","479.4000"
"10290","2169.0000"
"10291","497.5200"
"10292","1296.0000"
"10293","848.7000"
"10294","1887.6000"
"10295","121.6000"
"10296","1050.6000"
"10297","1420.0000"
"10298","2645.0000"
"10299","349.5000"
"10300","608.0000"
"10301","755.0000"
"10302","2708.8000"
"10303","1117.8000"
"10304","954.4000"
"10305","3741.3000"
"10306","498.5000"
"10307","424.0000"
"10308","88.8000"
"10309","1762.0000"
"10310","336.0000"
"10311","268.8000"
"10312","1614.8000"
"10313","182.4000"
"10314","2094.3000"
"10315","516.8000"
"10316","2835.0000"
"10317","288.0000"
"10318","240.4000"
"10319","1191.2000"
"10320","516.0000"
"10321","144.0000"
"10322","112.0000"
"10323","164.4000"
"10324","5275.7150"
"10325","1497.0000"
"10326","982.0000"
"10327","1810.0000"
"10328","1168.0000"
"10329","4578.4300"
"10330","1649.0000"
"10331","88.5000"
"10332","1786.8800"
"10333","877.2000"
"10334","144.8000"
"10335","2036.1600"
"10336","285.1200"
"10337","2467.0000"
"10338","934.5000"
"10339","3354.0000"
"10340","2436.1800"
"10341","352.6000"
"10342","1840.6400"
"10343","1584.0000"
"10344","2296.0000"
"10345","2924.8000"
"10346","1618.8800"
"10347","814.4200"
